Wavelength,EQE,Jsc
305,1.7617554493465,0
310,2.08771447327685,0.084130857426772
315,2.83865009121013,0.395656386443419
320,3.84504636131919,1.14906379087906
325,5.44363891052614,2.65033862193915
330,7.5884038529733,6.01875456626885
335,10.7922394495697,11.7688479582263
340,15.0450728322506,20.3089308642392
345,19.4601766948403,31.6752657981825
350,23.6955294833154,46.6874337403642
355,26.8651361357064,67.2319645860048
360,28.5492495464359,91.3364163529839
365,28.4642075555174,116.744838578309
370,27.0151776186736,144.969414721703
375,25.6813662017019,171.577175749377
380,24.162304172365,195.945049990036
385,23.1946739956654,220.995981438586
390,22.99244686937,247.480742901993
395,23.8070368831017,277.146656462486
400,26.8081158047432,316.471547165263
405,33.1650568452571,371.624693966123
410,42.162731276089,439.21053360946
415,51.8035503806667,528.712108647012
420,59.991124149832,638.688887371512
425,66.3369884179429,766.484865379207
430,70.7868418763452,890.904250941588
435,74.1563976817183,1025.30435243674
440,76.4956326598794,1197.56055215496
445,78.2377358026107,1391.40719630585
450,79.5524549633207,1606.16824838948
455,80.5740635057826,1830.82040924643
460,81.1192590761245,2057.94678131189
465,81.5183673854099,2289.84781168391
470,81.8026010667328,2523.57701668565
475,81.6321452626877,2766.50631933311
480,81.6790533529835,3020.44744053987
485,81.5934377699987,3272.990548876
490,81.3097359576063,3527.94864933815
495,81.2029922443265,3791.35717728952
500,80.8070251364899,4050.31510173107
505,80.6591647230043,4304.08898022366
510,80.5023182468655,4560.14033572939
515,80.2196673108121,4815.34901135804
520,80.0826385068817,5070.33337737754
525,79.8211329037696,5331.08292313194
530,79.5185805036364,5595.15166600894
535,79.3092445026286,5858.78535760551
540,79.2188087715883,6119.0416630943
545,79.1081283295421,6380.56750684451
550,78.9043833267938,6648.95255896861
555,78.7611221400841,6920.94621514752
560,78.4895059606732,7188.83617283284
565,78.7107949172098,7455.23917354919
570,78.6909733880461,7724.9985450405
575,78.8750819569895,7993.58462846916
580,79.1789428131464,8267.24593794719
585,79.1622276827376,8548.84934668909
590,79.3720154922932,8820.83598162124
595,79.4178931789221,9086.07266684131
600,79.4667313570016,9363.6715882075
605,79.7281042963779,9649.79467469471
610,79.8893631865401,9938.38618763692
615,79.7815450910351,10227.5114114035
620,79.61265236106,10519.0158059478
625,79.4637694886905,10805.58562112
630,79.2662003708322,11085.6804073927
635,78.9988643887913,11371.5455813307
640,78.7325604063642,11662.8913826186
645,78.0988326763412,11955.9522173334
650,77.563238536003,12241.5249831637
655,77.0080749660379,12516.452930705
660,76.2464685194519,12795.1545291745
665,75.9839721316408,13081.3686492548
670,75.2688299422667,13369.956640115
675,74.6082470207579,13655.4671927097
680,74.0201753292955,13938.4028323695
685,73.4515959914245,14219.0813071964
690,72.9495992176385,14478.0060950859
695,72.4886190393364,14726.6302857957
700,71.8995640726584,14985.3908869158
705,71.618947384668,15249.5163532893
710,71.2067821034862,15517.8075381795
715,70.9507232697229,15780.333604144
720,70.7581352463899,16009.8555984436
725,70.5430335700726,16217.7109122128
730,70.4226440803053,16441.2773691818
735,70.2076199725965,16684.4732015535
740,69.3728801497825,16936.9036036531
745,67.8733206704658,17190.0385204822
750,65.2257500830703,17438.680449455
755,60.7262634250248,17674.4077283662
760,52.4544444270724,17809.994449824
765,45.2461090050881,17879.1178741624
770,33.0628208378271,17986.3656859834
775,22.0008525505276,18086.2194405693
780,13.1060480523187,18150.5426364566
785,6.98623785406921,18187.2649051816
790,3.84517887748115,18206.7198290323
795,1.77365460957974,18216.4905708824
800,0.95133163875808,18221.234924604
805,0.421629352867014,18223.5976391814
810,0.214758163045981,18224.6874654378
815,0.04287806650852,18225.1200274796
820,0.033319524654741,18225.2303653469
825,0.0256736791604,18225.319066077
830,0,18225.3603814452
835,0,18225.3603814452
840,0,18225.3603814452
845,0,18225.3603814452
850,0,18225.3603814452
855,0,18225.3603814452
860,0,18225.3603814452
865,0,18225.3603814452
870,0,18225.3603814452
875,0,18225.3603814452
880,0,18225.3603814452
885,0,18225.3603814452
890,0,18225.3603814452
895,0,18225.3603814452
900,0,18225.3603814452
